job,salary,where,time,catagory,num,createtime,companyname,properties,scale,industry
日语翻译（温泉酒店）,年薪12-14w,上海,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
营销管培生,年薪7-14w,厦门,应届,大客户销售,10人,昨天发布,厦门石头城信息服务有限公司,私营·民营企业,100-499人,工业互联网
有机合成助理研究员（校招）,年薪6-7w,杭州,应届,生物工程/生物制药,20人,昨天发布,杭州励德生物科技有限公司,私营·民营企业,50-99人,制药/生物工程
销售代表,年薪15-30w,深圳,应届,销售代表,5人,昨天发布,晶丰明源,国内上市公司,100-499人,电子技术/半导体/集成电路
行政文员,2000元/月,深圳,实习5天/周,行政专员/助理,1人,昨天发布,金蝶,外商独资·外企办事处,5000-10000人,互联网/移动互联网/电子商务
引擎开发工程师（2021届）,年薪11-18w,成都,应届,U3D,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
人工智能训练实习生,5000元/月,北京-大兴区,实习5天/周,机器学习,2人,昨天发布,天源迪科信息技术,私营·民营企业,2000-5000人,计算机软件
教师,年薪8-12w,济南,应届,教师,30人,昨天发布,济南市天桥区智博教育培训学校,私营·民营企业,100-499人,教育/培训/学术/科研/院校
汽车销售顾问实习生（工作地点：江浙沪皖）,150元/日,金华,实习5天/周,汽车销售,不限,昨天发布,宝能汽车销售有限公司,私营·民营企业,10000人以上,汽车交易
建筑电气设计师,100元/日,和田,实习5天/周,建筑设计师,不限,昨天发布,新疆原创城市设计研究(院)有限公司和田分公司,私营·民营企业,1-49人,规划/设计/装潢
淘宝客服,年薪4-6w,吉安,应届,网络/在线客服,不限,昨天发布,酷韧健身,私营·民营企业,100-499人,高端制造
黑龙江分公司-市场企划岗（综合行政类）,面议,哈尔滨,应届,市场企划专员/助理,不限,昨天发布,华夏人寿保险股份有限公司,其他,10000人以上,保险
行政专员（2021届）,年薪6-10w,成都,应届,行政专员/助理,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
总公司-财务管理部-预算管理岗,面议,北京-海淀区,应届,其他财务/审计/税务职位,不限,昨天发布,华夏人寿保险股份有限公司,其他,10000人以上,保险
鞋类设计助理,年薪4-7w,杭州-下城区,应届,服装/纺织设计,1人,昨天发布,浙江同心妇幼,私营·民营企业,1000-2000人,百货/批发/零售
erp实施顾问实习生,年薪4-5w,南京-浦口区,应届,ERP实施顾问,5人,昨天发布,帛丝云商江苏科技有限公司,私营·民营企业,50-99人,IT服务/系统集成
海外医药项目管理储备,年薪12-18w,非洲,应届,销售代表,5人,昨天发布,广东新南方集团有限公司,私营·民营企业,2000-5000人,医疗/保健/美容/卫生服务
助理工程师（光通信）,年薪5-8w,中山,应届,光通信工程师,5人,昨天发布,海粤集团,私营·民营企业,500-999人,芯片/集成电路
生物技术员,年薪6-7w,北京-大兴区,应届,生物技术员,2人,昨天发布,博品(上海)生物医药科技有限公司,私营·民营企业,50-99人,专业服务(咨询/财会/法律/翻译等)
日本北海道高尔夫日语翻译,年薪14-18w,无锡,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
视频后期设计师-2021届校招,年薪8-10w,广州,应届,后期制作,不限,昨天发布,诗悦,私营·民营企业,100-499人,游戏开发
伊利2021年校招-销售培训生（液态奶）,年薪8-18w,东莞,应届,其他培训生/储备干部,17人,昨天发布,伊利实业,国内上市公司,10000人以上,食品/饮料/烟酒/日化
对公助理客户经理,年薪8-11w,深圳,应届,银行综合业务专员/助理,1人,昨天发布,中国信托商业银行股份有限公司深圳分行,外商独资·外企办事处,1-49人,银行
汽车维修实习生（工作地点：江浙沪皖）,120元/日,宿州,实习5天/周,汽车维修/保养,不限,昨天发布,宝能汽车销售有限公司,私营·民营企业,10000人以上,汽车交易
销售代表,年薪12-18w,苏州,应届,销售代表,1人,昨天发布,科朗叉车,外商独资·外企办事处,100-499人,机械制造/机电/重工
生物技术员（细胞培养）,2500元/月,北京-大兴区,实习5天/周,生物技术员,1人,昨天发布,博品(上海)生物医药科技有限公司,私营·民营企业,50-99人,专业服务(咨询/财会/法律/翻译等)
企业资产/资金管理,年薪11-12w,深圳,应届,企业资产/资金管理,5人,昨天发布,中国燃气控股有限公司,中外合营(合资·合作),10000人以上,新能源
日语翻译（温泉酒店）,年薪12-14w,武汉,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
风险策略岗（2021届校招）,年薪5-12w,成都,应届,风险管理/控制,4人,昨天发布,四川锦程消费金融有限责任公司,中外合营(合资·合作),100-499人,信托/担保/拍卖/典当
理财顾问（管培生，投资顾问方向）,年薪10-18w,佛山-禅城区,应届,投资/理财顾问,不限,昨天发布,国信证券佛山禅城分公司,国有企业,5000-10000人,证券
建筑设计师,年薪4-7w,和田,应届,建筑设计师,不限,昨天发布,新疆原创城市设计研究(院)有限公司和田分公司,私营·民营企业,1-49人,规划/设计/装潢
Data Intern 数据分析实习生,100元/月,上海,实习3天/周,市场调研与分析,1人,昨天发布,珠海艾特营销策划有限公司,私营·民营企业,50-99人,专业服务(咨询/财会/法律/翻译等)
招聘专员/助理,150元/日,上海-徐汇区,实习4天/周,招聘专员/助理,1人,昨天发布,易恒健康,中外合营(合资·合作),500-999人,电子商务
电子设计工程师,年薪18-36w,杭州,应届,科研人员,2人,昨天发布,之江实验室,其他,1000-2000人,其他
远程银行客服,年薪6-8w,长沙,应届,客户服务专员/助理,10人,昨天发布,四海通达文化传媒有限公司,私营·民营企业,500-999人,互联网/移动互联网/电子商务
日本北海道高尔夫日语翻译,年薪14-18w,苏州,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
伊利2021年校招-销售培训生（液态奶）,年薪8-18w,珠海,应届,其他培训生/储备干部,17人,昨天发布,伊利实业,国内上市公司,10000人以上,食品/饮料/烟酒/日化
区域销售经理,年薪7-10w,合肥,应届,市场专员/助理,30人,昨天发布,徐工环境,国有企业,500-999人,机械制造/机电/重工
研发实习生,150元/月,南京,实习4天/周,生物工程/生物制药,不限,昨天发布,禾柏(南京)医学科技有限公司,私营·民营企业,100-499人,制药/生物工程
材料工程师,年薪6-8w,台州-椒江区,应届,材料工程师,3人,昨天发布,浙江新天力容器科技有限公司,私营·民营企业,1000-2000人,印刷/包装/造纸
会计实习生,100元/日,北京-石景山区,实习5天/周,会计助理/文员,1人,昨天发布,北京京西重工有限公司,国有企业,5000-10000人,汽车/摩托车
产品工程师（校招）,年薪9-18w,上海-浦东新区,应届,半导体技术,不限,昨天发布,晶丰明源,国内上市公司,100-499人,电子技术/半导体/集成电路
实施工程师（北京）,年薪6-12w,北京-朝阳区,应届,实施工程师,2人,昨天发布,薪人薪事,私营·民营企业,100-499人,企业服务软件
手游运营（2021届）,年薪6-12w,深圳,应届,游戏运营,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
2021届富力地产校园招聘-富力星（设计类）,年薪12-14w,重庆-江北区,应届,其他房地产/建筑/物业职位,20人,昨天发布,富力集团-重庆公司,私营·民营企业,500-999人,房地产开发/建筑/建材/工程
数据策略岗（2021届校招）,年薪5-12w,成都,应届,数据分析师,4人,昨天发布,四川锦程消费金融有限责任公司,中外合营(合资·合作),100-499人,信托/担保/拍卖/典当
助理/秘书/文员,年薪6-10w,南京-玄武区,应届,秘书/文员,2人,昨天发布,东华能源,国内上市公司,1000-2000人,石油/石化/化工
招生顾问,年薪6-18w,常州-天宁区,应届,培训/招生/课程顾问,5人,昨天发布,苏州盛文优路文化交流有限公司常州分公司,国内上市公司,5000-10000人,教育/培训/学术/科研/院校
工程质量实习生,年薪2-4w,杭州-萧山区,应届,房地产项目管理,1人,昨天发布,保亿置业,私营·民营企业,500-999人,房产开发
软件实习工程师,年薪5-7w,上海-金山区,应届,C,5人,昨天发布,特百佳动力科技有限公司,私营·民营企业,50-99人,新能源/电动汽车
培训/招生/课程顾问,年薪5-10w,苏州,应届,培训/招生/课程顾问,2人,昨天发布,苏州朗阁外语培训中心,政府机关／非盈利机构,100-499人,教育/培训/学术/科研/院校
实验室无机分析员,年薪2-4w,南京,应届,环保检测,4人,昨天发布,南京源豪检测技术有限公司,,,
光学工程师,年薪18-36w,杭州,应届,科研人员,2人,昨天发布,之江实验室,其他,1000-2000人,其他
市场调研与分析,年薪5-8w,佛山-顺德区,应届,市场调研与分析,2人,昨天发布,中山市韩加电器科技有限公司,私营·民营企业,100-499人,家具/家电
期权交易员,年薪7-8w,上海-浦东新区,应届,证券交易员,1人,昨天发布,中粮期货有限公司,国有企业,100-499人,基金/证券/期货/投资
校园大使,100元/日,郑州,实习1天/周,其他人力资源,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
硬件工程师,年薪12-18w,上海,应届,硬件工程师,1人,昨天发布,华域麦格纳电驱动系统有限公司,中外合营(合资·合作),100-499人,汽车/摩托车
（实习生）e-HR 实施顾问,150元/日,上海,实习5天/周,实施工程师,5人,昨天发布,上海外服薪数据科技有限公司,国有企业,100-499人,人力资源
2021应届生-销售代表（湖北）,年薪6-14w,武汉,应届,医疗器械销售代表,2人,昨天发布,帝迈生物,私营·民营企业,500-999人,医疗设备/器械
管培生/培训生,年薪7-14w,广州-海珠区,应届,管理培训生,10人,昨天发布,广东新南方集团有限公司,私营·民营企业,2000-5000人,医疗/保健/美容/卫生服务
销售代表,年薪10-16w,上海-普陀区,应届,销售代表,5人,昨天发布,德佑房地产经纪有限公司上海第一千八百七十一分公司,私营·民营企业,10000人以上,房地产服务(物业管理/地产经纪)
日本机场地勤   日语翻译,年薪18-24w,武汉,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
综合服务管理实习岗,年薪12-18w,深圳-南山区,应届,后勤/总务,1人,昨天发布,深圳证券通信有限公司,国有企业,500-999人,IT服务/系统集成
百万门店/底薪八千/垂直晋升/全深圳就近分配,年薪10-16w,深圳-龙华区,应届,销售代表,不限,昨天发布,贝壳找房(深圳)科技有限公司,私营·民营企业,10000人以上,房地产开发/建筑/建材/工程
药研项目负责人,年薪7-10w,广州-白云区,应届,药品研发,5人,昨天发布,广东新南方集团有限公司,私营·民营企业,2000-5000人,医疗/保健/美容/卫生服务
日语 翻译（免税店）,年薪12-14w,日本,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
营销管培生,年薪8-13w,北京,应届,销售代表,6人,昨天发布,深圳市易流科技股份有限公司,私营·民营企业,500-999人,交通/物流/运输
机场地勤 日语翻译,年薪14-18w,长沙,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
管培生,年薪6-7w,深圳-福田区,应届,保险内勤,3人,昨天发布,和谐健康保险股份有限公司,私营·民营企业,1000-2000人,保险
机构客户服务,年薪12-14w,深圳-福田区,应届,机构客户服务,1人,昨天发布,生命保险资产管理有限公司,私营·民营企业,100-499人,投资理财
房产销售,年薪10-14w,深圳,应届,销售代表,3人,昨天发布,贝壳找房(深圳)科技有限公司,私营·民营企业,10000人以上,房地产开发/建筑/建材/工程
信息技术运维开发,年薪8-14w,上海-浦东新区,应届,运维开发,1人,昨天发布,广融达金融租赁有限公司,私营·民营企业,1-49人,基金/证券/期货/投资
实习销售经理,年薪8-13w,深圳-龙岗区,应届,区域销售经理/主管,5人,昨天发布,深圳市乐有家控股集团有限公司,私营·民营企业,10000人以上,房地产服务(物业管理/地产经纪)
导购（家居商场就近分配）,年薪6-11w,武汉,应届,店员/营业员/导购,6人,昨天发布,武汉市海之慧家居销售有限公司,,,百货/批发/零售
医美器械销售专员-佛山,年薪6-18w,佛山,应届,医疗器械销售代表,3人,昨天发布,意之美(广州)生物科技有限公司,私营·民营企业,50-99人,医疗设备/器械
人力资源专员,年薪12-19w,郑州-金水区,应届,人力资源专员/助理,3人,昨天发布,河南金汇建设投资股份有限公司,私营·民营企业,50-99人,房地产开发/建筑/建材/工程
质量管理储备,年薪6-10w,四川,应届,质量管理(QA/QC)经理/主管,20人,昨天发布,富临精工,国内上市公司,1000-2000人,汽车/摩托车
网球教练,年薪7-14w,厦门-思明区,应届,体育教师/教练,不限,昨天发布,厦门趣店科技有限公司,国内上市公司,1000-2000人,互联网/移动互联网/电子商务
弱电工程师,年薪6-8w,深圳-福田区,应届,智能大厦/综合布线/安防/弱电,不限,昨天发布,深圳市万睿智能科技有限公司,国内上市公司,1000-2000人,房地产开发/建筑/建材/工程
21届校招生/上市房企实习,6000元/月,深圳-宝安区,实习5天/周,房地产销售人员,5人,昨天发布,贝壳找房(深圳)科技有限公司,私营·民营企业,10000人以上,房地产开发/建筑/建材/工程
出纳,年薪4-5w,上海,应届,出纳员,1人,昨天发布,上海惠建投资有限公司,私营·民营企业,50-99人,房产开发
精装施工管理实习生,年薪2-4w,杭州-萧山区,应届,房地产项目管理,1人,昨天发布,保亿置业,私营·民营企业,500-999人,房产开发
储备干部,年薪6-10w,上海,应届,储备干部,6人,昨天发布,上海立坤食品有限公司,,50-99人,食品/饮料/烟酒/日化
数据运营（实习）,2500元/月,大连-甘井子区,实习5天/周,数据运营,2人,昨天发布,未名企鹅(北京)科技有限公司,私营·民营企业,50-99人,大数据行业应用
储备销售工程师,年薪7-12w,上海,应届,储备干部,5人,昨天发布,上海飞奥燃气设备有限公司,中外合营(合资·合作),100-499人,机械制造/机电/重工
日本免税店日语翻译,年薪18-24w,郑州,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
产业园区招商管培生（武汉-2021届）,年薪7-9w,武汉-江岸区,应届,业务拓展专员/助理,5人,昨天发布,谷川联行,私营·民营企业,100-499人,互联网/移动互联网/电子商务
投资/理财顾问实习生,100元/日,合肥-蜀山区,实习5天/周,投资/理财顾问,5人,昨天发布,杭州绿城财富管理有限公司,私营·民营企业,100-499人,基金/证券/期货/投资
有机合成研究员（校招）,年薪11-12w,杭州,应届,化工实验室研究员/技术员,20人,昨天发布,杭州励德生物科技有限公司,私营·民营企业,50-99人,制药/生物工程
平面设计师/包装设计师,年薪6-7w,上海,应届,包装设计/印刷设计,1人,昨天发布,上海万弘国际贸易有限公司,私营·民营企业,50-99人,贸易/进出口
产品研发/工艺开发（传统产业）,年薪7-14w,四川,应届,机械工程师,15人,昨天发布,富临精工,国内上市公司,1000-2000人,汽车/摩托车
销售行政专员/助理,年薪12-16w,东莞-麻涌镇,应届,销售行政专员/助理,10人,昨天发布,东莞市海昌实业有限公司,私营·民营企业,500-999人,交通/物流/运输
java开发工程师（南京）,年薪14-28w,南京-建邺区,应届,Java,50人,昨天发布,万得,私营·民营企业,2000-5000人,互联网/移动互联网/电子商务
临床研究员,年薪8-13w,成都,应届,临床监察员CRA,10人,昨天发布,海创药业股份有限公司,外商独资·外企办事处,50-99人,制药/生物工程
出纳员,年薪5-6w,马鞍山,应届,出纳员,1人,昨天发布,东方公司,国内上市公司,100-499人,房地产开发/建筑/建材/工程
广告策划管培生,年薪7-9w,杭州,应届,活动策划,1人,昨天发布,浙江诚稻置业有限公司,私营·民营企业,100-499人,商业地产
测绘/测量,3000元/月,广州-越秀区,实习5天/周,测绘/测量,1人,昨天发布,广州中科云图智能科技有限公司,私营·民营企业,50-99人,计算机软件
运维工程师（2021届）,年薪6-12w,深圳,应届,运维工程师,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
施工员实习生,3500元/月,合肥,实习5天/周,现场/施工管理,6人,昨天发布,中铁中安建设集团第五工程局有限公司,私营·民营企业,100-499人,建筑
健康饮品华东大区销售培训生,年薪7-10w,滁州,应届,销售代表,5人,昨天发布,伊利实业,国内上市公司,10000人以上,食品/饮料/烟酒/日化
建筑设计实习生,3000元/月,杭州-萧山区,实习5天/周,建筑设计师,2人,昨天发布,浙江诚稻置业有限公司,私营·民营企业,100-499人,商业地产
校园大使,100元/日,上海,实习1天/周,其他人力资源,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
总公司-科技发展中心-渠道系统开发岗,面议,北京-海淀区,应届,保险内勤,不限,昨天发布,华夏人寿保险股份有限公司,其他,10000人以上,保险
服务端开发工程师-2021届校招,年薪10-17w,广州,应届,多媒体/游戏开发工程师,不限,昨天发布,诗悦,私营·民营企业,100-499人,游戏开发
黑龙江分公司-集中核算岗（财务管理类）,面议,哈尔滨,应届,财务分析员,不限,昨天发布,华夏人寿保险股份有限公司,其他,10000人以上,保险
广告设计师-2021届校招,年薪8-10w,广州,应届,广告创意/设计师,不限,昨天发布,诗悦,私营·民营企业,100-499人,游戏开发
给排水工程师（实习生）,5000元/月,广州-白云区,实习5天/周,给排水工程师,5人,昨天发布,广州广空设计咨询有限公司,私营·民营企业,50-99人,规划/设计/装潢
销售代表,年薪10-12w,深圳,应届,销售代表,5人,昨天发布,贝壳找房(深圳)科技有限公司,私营·民营企业,10000人以上,房地产开发/建筑/建材/工程
售前支持工程师,年薪14-21w,广州-越秀区,应届,售前支持工程师,15人,昨天发布,广州中科云图智能科技有限公司,私营·民营企业,50-99人,计算机软件
注塑工程师,130元/日,佛山-顺德区,实习5天/周,注塑工程师/技师,1人,昨天发布,泰科电子,外商独资·外企办事处,1000-2000人,电子技术/半导体/集成电路
实验室研究员,年薪22-30w,苏州-工业园区,应届,化工实验室研究员/技术员,1人,昨天发布,苏州引航生物科技有限公司,私营·民营企业,100-499人,制药/生物工程
2021应届生-销售代表（贵州）,年薪6-14w,贵阳,应届,医疗器械销售代表,2人,昨天发布,帝迈生物,私营·民营企业,500-999人,医疗设备/器械
总公司-营销事业群-产品推动岗,面议,北京-海淀区,应届,保险内勤,不限,昨天发布,华夏人寿保险股份有限公司,其他,10000人以上,保险
业务拓展专员/助理,年薪11-17w,广州-越秀区,应届,业务拓展专员/助理,15人,昨天发布,广州中科云图智能科技有限公司,私营·民营企业,50-99人,计算机软件
销售运营专员/助理,年薪2-4w,上海,应届,销售运营专员/助理,1人,昨天发布,中车瑞伯德,国有企业,100-499人,仪器/仪表/工业自动化/电气
2021应届生-销售代表（河北）,年薪6-14w,石家庄,应届,医疗器械销售代表,2人,昨天发布,帝迈生物,私营·民营企业,500-999人,医疗设备/器械
光学仿真研究员,年薪18-36w,杭州,应届,科研人员,1人,昨天发布,之江实验室,其他,1000-2000人,其他
PHP开发工程师（2021届）,年薪7-14w,长沙,应届,PHP,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
财富顾问（管培生，营销理财方向）,年薪6-10w,佛山-高明区,应届,其他基金/证券/期货/投资,不限,昨天发布,国信证券佛山禅城分公司,国有企业,5000-10000人,证券
销售助理-编码0022-电子元器件销售,年薪5-7w,苏州-工业园区,应届,区域销售专员/助理,6人,昨天发布,紫东信息科技(苏州)有限公司,私营·民营企业,1-49人,人工智能
战略管培生,年薪18-24w,上海-黄浦区,应届,咨询顾问/咨询员,不限,昨天发布,空中云汇(深圳)网络科技有限公司,外商独资·外企办事处,100-499人,互联网金融
储培管理—生产/质量管理,年薪6-12w,绵阳,应届,生产质量管理,不限,昨天发布,富临精工,国内上市公司,1000-2000人,汽车/摩托车
引擎开发工程师（2021届）,年薪11-18w,广州,应届,U3D,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
引擎开发工程师（2021届）,年薪11-18w,武汉,应届,U3D,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
高级有机合成研究员,年薪18-24w,上海-浦东新区,应届,化工实验室研究员/技术员,2人,昨天发布,瑞石生物医药有限公司,外商独资·外企办事处,100-499人,制药/生物工程
erp软件实施工程师,年薪2-2w,济南-高新区,应届,ERP实施顾问,10人,昨天发布,山东用友软件技术有限公司,私营·民营企业,10000人以上,计算机软件
土建工程师助理,年薪6-7w,北京-西城区,应届,土木/土建工程师,2人,昨天发布,北京中技金谷集成房屋科技有限公司,私营·民营企业,100-499人,房地产开发/建筑/建材/工程
实习生-财税,150元/日,上海,实习4天/周,财务助理,不限,昨天发布,上海外服薪数据科技有限公司,国有企业,100-499人,人力资源
销售代表,年薪10-16w,上海-松江区,应届,销售代表,5人,昨天发布,德佑房地产经纪有限公司上海第一千八百七十一分公司,私营·民营企业,10000人以上,房地产服务(物业管理/地产经纪)
机场地勤 日语翻译,年薪14-18w,青岛,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
机场地勤 日语翻译,年薪14-18w,长春,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
初级咨询师,年薪7-12w,上海-闵行区,应届,咨询顾问/咨询员,3人,昨天发布,顾均辉,私营·民营企业,100-499人,专业服务(咨询/财会/法律/翻译等)
结算专员,年薪5-7w,上海-徐汇区,应届,结算,1人,昨天发布,如家酒店连锁（中国）有限公司,国内上市公司,10000人以上,旅游/酒店/餐饮服务/生活服务
2021校园招聘-新能源/电池工程师,年薪20-30w,北京,应届,电池开发,不限,昨天发布,北京奔驰汽车有限公司,中外合营(合资·合作),10000人以上,汽车/摩托车
小学语文编辑,年薪4-5w,武汉-洪山区,应届,校对/录入,2人,昨天发布,湖北猎豹教育科技有限公司,,,计算机软件
运维实习生,5000元/月,北京-大兴区,实习5天/周,运维工程师,3人,昨天发布,天源迪科信息技术,私营·民营企业,2000-5000人,计算机软件
实习生,200元/日,北京-朝阳区,实习5天/周,律师助理,2人,昨天发布,北京安杰律师事务所,其他,100-499人,专业服务(咨询/财会/法律/翻译等)
销售代表,年薪10-16w,上海-金山区,应届,销售代表,5人,昨天发布,德佑房地产经纪有限公司上海第一千八百七十一分公司,私营·民营企业,10000人以上,房地产服务(物业管理/地产经纪)
销售代表,年薪10-16w,上海-长宁区,应届,销售代表,5人,昨天发布,德佑房地产经纪有限公司上海第一千八百七十一分公司,私营·民营企业,10000人以上,房地产服务(物业管理/地产经纪)
量化分析实习生,150元/日,上海,实习3天/周,证券分析师,不限,昨天发布,上海凯纳璞淳资产管理有限公司,私营·民营企业,1-49人,基金
广告优化师-2021届校招,年薪8-10w,广州,应届,媒介专员/助理,不限,昨天发布,诗悦,私营·民营企业,100-499人,游戏开发
高薪销售退伍军人优先,年薪8-12w,深圳-龙岗区,应届,销售经理/主管,10人,昨天发布,深圳市乐有家控股集团有限公司,私营·民营企业,10000人以上,房地产服务(物业管理/地产经纪)
语数英物辅导老师,年薪10-18w,武汉-洪山区,应届,教师,不限,昨天发布,北京高途云集教育科技有限公司,国内上市公司,5000-10000人,教育/培训/学术/科研/院校
模具工程师-应届毕业生,年薪11-14w,西安,应届,模具工程师,6人,昨天发布,陕汽,国有企业,10000人以上,汽车/摩托车
人力资源实习生（招聘）,120元/月,北京-海淀区,实习3天/周,招聘专员/助理,2人,昨天发布,江苏雷科防务科技股份有限公司北京公司,国内上市公司,1000-2000人,电子技术/半导体/集成电路
工艺技术员,年薪5-10w,东莞,应届,给排水工程师,5人,昨天发布,广东欧科空调制冷有限公司,中外合营(合资·合作),500-999人,房地产开发/建筑/建材/工程
区域销售经理,年薪7-10w,广州,应届,市场专员/助理,30人,昨天发布,徐工环境,国有企业,500-999人,机械制造/机电/重工
可靠度工程师,年薪9-18w,上海-浦东新区,应届,可靠度工程师,不限,昨天发布,晶丰明源,国内上市公司,100-499人,电子技术/半导体/集成电路
市场推广,3000元/日,阜阳,实习5天/周,市场拓展专员/助理,16人,昨天发布,易赋科技,私营·民营企业,1-49人,消费金融
日本机场地勤   日语翻译,年薪18-24w,深圳,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
管理培训生,年薪7-10w,杭州,应届,管理培训生,5人,昨天发布,伊利实业,国内上市公司,10000人以上,食品/饮料/烟酒/日化
财务会计师,年薪7-11w,南京,应届,会计助理/文员,2人,昨天发布,盛泉恒元,私营·民营企业,50-99人,基金
有机合成研究员,年薪11-14w,苏州,应届,化工实验室研究员/技术员,5人,昨天发布,苏州引航生物科技有限公司,私营·民营企业,100-499人,制药/生物工程
秘书/文员,年薪10-14w,珠海,应届,秘书/文员,5人,昨天发布,江苏太平洋建设有限公司,私营·民营企业,10000人以上,建筑
区域销售经理,年薪7-10w,南昌,应届,区域销售经理/主管,30人,昨天发布,徐工环境,国有企业,500-999人,机械制造/机电/重工
外部定价管理岗,面议,济南,应届,银行资产管理,不限,昨天发布,恒丰银行,国有企业,5000-10000人,银行
日本免税店日语翻译,年薪18-24w,宁波,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
运营专员（实习生）,3000元/月,北京-朝阳区,实习5天/周,运营专员,3人,昨天发布,北京币码网络科技有限公司,私营·民营企业,1-49人,互联网金融
校园大使,100元/日,大连,实习1天/周,其他人力资源,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
总公司-健康保险事业部-项目支持岗,面议,北京-海淀区,应届,保险内勤,不限,昨天发布,华夏人寿保险股份有限公司,其他,10000人以上,保险
手游策划（2021届）,年薪7-14w,武汉,应届,游戏策划师,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
电商管培生,年薪8-11w,广州-黄埔区,应届,储备干部,15人,昨天发布,环亚化妆品（滋源/美肤宝/法兰琳卡）,外商独资·外企办事处,1000-2000人,食品/饮料/烟酒/日化
销售工程师（校招）,年薪9-18w,上海-浦东新区,应届,销售代表,不限,昨天发布,晶丰明源,国内上市公司,100-499人,电子技术/半导体/集成电路
技术支持/物料领班/数据分析员,120元/日,佛山-顺德区,实习5天/周,生产跟单,4人,昨天发布,泰科电子,外商独资·外企办事处,1000-2000人,电子技术/半导体/集成电路
课程设计,150元/日,上海-黄浦区,实习3天/周,课程设计,1人,昨天发布,吉额翎集团,私营·民营企业,100-499人,互联网/移动互联网/电子商务
引擎开发工程师（2021届）,年薪11-18w,福州,应届,U3D,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
Consulting Analyst 初级行业研究顾问,年薪13-20w,上海-静安区,应届,咨询顾问/咨询员,1人,昨天发布,灼识企业管理咨询(上海)有限公司,外商独资·外企办事处,100-499人,专业服务(咨询/财会/法律/翻译等)
人事实习生,120元/日,上海-浦东新区,实习3天/周,人力资源专员/助理,1人,昨天发布,沪江,私营·民营企业,1000-2000人,在线教育
销售助理,年薪6-14w,青岛-崂山区,应届,销售行政专员/助理,不限,昨天发布,青岛邦尼安居不动产经纪有限公司,,,房地产开发/建筑/建材/工程
校园大使,100元/日,重庆,实习1天/周,其他人力资源,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
秘书/文员,年薪10-14w,汕尾,应届,秘书/文员,5人,昨天发布,江苏太平洋建设有限公司,私营·民营企业,10000人以上,建筑
秘书/文员,年薪10-14w,茂名,应届,秘书/文员,5人,昨天发布,江苏太平洋建设有限公司,私营·民营企业,10000人以上,建筑
财务专员（2021届）,年薪6-12w,武汉,应届,财务助理,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
采购专员/助理,100元/日,北京,实习4天/周,采购专员/助理,1人,昨天发布,优尼博览(北京)有限公司,外商独资·外企办事处,50-99人,广告/公关/市场推广/会展
药品研发,年薪8-13w,成都,应届,药品研发,20人,昨天发布,海创药业股份有限公司,外商独资·外企办事处,50-99人,制药/生物工程
会计助理/文员,年薪12-18w,东莞-麻涌镇,应届,会计助理/文员,5人,昨天发布,东莞市海昌实业有限公司,私营·民营企业,500-999人,交通/物流/运输
贝壳实习生（无责6000+包住）,300元/日,深圳-龙岗区,实习5天/周,房地产销售人员,8人,昨天发布,贝壳找房(深圳)科技有限公司,私营·民营企业,10000人以上,房地产开发/建筑/建材/工程
